nome,year,Wins,Losses,Pct_wins,Ot_Losses,Gf,Ga,Dif_success
Toronto Maple Leafs,1999,45,27,54.90%,3,246,222,0.549
Vancouver Canucks,1999,30,29,36.60%,8,227,237,-10.0
Washington Capitals,1999,44,24,53.70%,2,227,194,0.537
Mighty Ducks of Anaheim,2000,25,41,30.50%,5,188,245,-57.0
Atlanta Thrashers,2000,23,45,28.00%,2,211,289,-78.0
Boston Bruins,2000,36,30,43.90%,8,227,249,-22.0
Buffalo Sabres,2000,46,30,56.10%,1,218,184,0.561
Calgary Flames,2000,27,36,32.90%,4,197,236,-39.0
Carolina Hurricanes,2000,38,32,46.30%,3,212,225,-13.0
Columbus Blue Jackets,2000,28,39,34.10%,6,190,233,-43.0
Chicago Blackhawks,2000,29,40,35.40%,5,210,246,-36.0
Colorado Avalanche,2000,52,16,63.40%,4,270,192,0.634
Dallas Stars,2000,48,24,58.50%,2,241,187,0.585
Detroit Red Wings,2000,49,20,59.80%,4,253,202,0.598
Edmonton Oilers,2000,39,28,47.60%,3,243,222,21.0
Florida Panthers,2000,22,38,26.80%,9,200,246,-46.0
Los Angeles Kings,2000,38,28,46.30%,3,252,228,24.0
Minnesota Wild,2000,25,39,30.50%,5,168,210,-42.0
Montreal Canadiens,2000,28,40,34.10%,6,206,232,-26.0
Nashville Predators,2000,34,36,41.50%,3,186,200,-14.0
New Jersey Devils,2000,48,19,58.50%,3,295,195,0.585
New York Islanders,2000,21,51,25.60%,3,185,268,-83.0
New York Rangers,2000,33,43,40.20%,1,250,290,-40.0
Ottawa Senators,2000,48,21,58.50%,4,274,205,0.585
Philadelphia Flyers,2000,43,25,52.40%,3,240,207,0.524
Phoenix Coyotes,2000,35,27,42.70%,3,214,212,2.0
Pittsburgh Penguins,2000,42,28,51.20%,3,281,256,0.512
San Jose Sharks,2000,40,27,48.80%,3,217,192,25.0
St. Louis Blues,2000,43,22,52.40%,5,249,195,0.524
Tampa Bay Lightning,2000,24,47,29.30%,5,201,280,-79.0
Toronto Maple Leafs,2000,37,29,45.10%,5,232,207,25.0
Vancouver Canucks,2000,36,28,43.90%,7,239,238,1.0
Washington Capitals,2000,41,27,50.00%,4,233,211,0.5
Mighty Ducks of Anaheim,2001,29,42,35.40%,3,175,198,-23.0
Atlanta Thrashers,2001,19,47,23.20%,5,187,288,-101.0
Boston Bruins,2001,43,24,52.40%,9,236,201,0.524
Buffalo Sabres,2001,35,35,42.70%,1,213,200,13.0
Calgary Flames,2001,32,35,39.00%,3,201,220,-19.0
Carolina Hurricanes,2001,35,26,42.70%,5,217,217,0.0
Columbus Blue Jackets,2001,22,47,26.80%,5,164,255,-91.0
Chicago Blackhawks,2001,41,27,50.00%,1,216,207,0.5
Colorado Avalanche,2001,45,28,54.90%,1,212,169,0.549
Dallas Stars,2001,36,28,43.90%,5,215,213,2.0
Detroit Red Wings,2001,51,17,62.20%,4,251,187,0.622
Edmonton Oilers,2001,38,28,46.30%,4,205,182,23.0
Florida Panthers,2001,22,44,26.80%,6,180,250,-70.0
Los Angeles Kings,2001,40,27,48.80%,4,214,190,24.0
Minnesota Wild,2001,26,35,31.70%,9,195,238,-43.0
Montreal Canadiens,2001,36,31,43.90%,3,207,209,-2.0
Nashville Predators,2001,28,41,34.10%,0,196,230,-34.0
New Jersey Devils,2001,41,28,50.00%,4,205,187,0.5
New York Islanders,2001,42,28,51.20%,4,239,220,0.512
New York Rangers,2001,36,38,43.90%,4,227,258,-31.0
Ottawa Senators,2001,39,27,47.60%,7,243,208,35.0
Philadelphia Flyers,2001,42,27,51.20%,3,234,192,0.512
Phoenix Coyotes,2001,40,27,48.80%,6,228,210,18.0
Pittsburgh Penguins,2001,28,41,34.10%,5,198,249,-51.0
San Jose Sharks,2001,44,27,53.70%,3,248,199,0.537
St. Louis Blues,2001,43,27,52.40%,4,227,188,0.524
Tampa Bay Lightning,2001,27,40,32.90%,4,178,219,-41.0
Toronto Maple Leafs,2001,43,25,52.40%,4,249,207,0.524
Vancouver Canucks,2001,42,30,51.20%,3,254,211,0.512
Washington Capitals,2001,36,33,43.90%,2,228,240,-12.0
Mighty Ducks of Anaheim,2002,40,27,48.80%,6,203,193,10.0
Atlanta Thrashers,2002,31,39,37.80%,5,226,284,-58.0
Boston Bruins,2002,36,31,43.90%,4,245,237,8.0
Buffalo Sabres,2002,27,37,32.90%,8,190,219,-29.0
Calgary Flames,2002,29,36,35.40%,4,186,228,-42.0
Carolina Hurricanes,2002,22,43,26.80%,6,171,240,-69.0
Columbus Blue Jackets,2002,29,42,35.40%,3,213,263,-50.0
Chicago Blackhawks,2002,30,33,36.60%,6,207,226,-19.0
Colorado Avalanche,2002,42,19,51.20%,8,251,194,0.512
Dallas Stars,2002,46,17,56.10%,4,245,169,0.561
Detroit Red Wings,2002,48,20,58.50%,4,269,203,0.585
Edmonton Oilers,2002,36,26,43.90%,9,231,230,1.0
Florida Panthers,2002,24,36,29.30%,9,176,237,-61.0
Los Angeles Kings,2002,33,37,40.20%,6,203,221,-18.0
Minnesota Wild,2002,42,29,51.20%,1,198,178,0.512
Montreal Canadiens,2002,30,35,36.60%,9,206,234,-28.0
Nashville Predators,2002,27,35,32.90%,7,183,206,-23.0
New Jersey Devils,2002,46,20,56.10%,6,216,166,0.561
New York Islanders,2002,35,34,42.70%,2,224,231,-7.0
New York Rangers,2002,32,36,39.00%,4,210,231,-21.0
Ottawa Senators,2002,52,21,63.40%,1,263,182,0.634
Philadelphia Flyers,2002,45,20,54.90%,4,211,166,0.549
Phoenix Coyotes,2002,31,35,37.80%,5,204,230,-26.0
Pittsburgh Penguins,2002,27,44,32.90%,5,189,255,-66.0
San Jose Sharks,2002,28,37,34.10%,8,214,239,-25.0
St. Louis Blues,2002,41,24,50.00%,6,253,222,0.5
Tampa Bay Lightning,2002,36,25,43.90%,5,219,210,9.0
Toronto Maple Leafs,2002,44,28,53.70%,3,236,208,0.537
Vancouver Canucks,2002,45,23,54.90%,1,264,208,0.549
Washington Capitals,2002,39,29,47.60%,6,224,220,4.0
Mighty Ducks of Anaheim,2003,29,35,35.40%,8,184,213,-29.0
Atlanta Thrashers,2003,33,37,40.20%,4,214,243,-29.0
Boston Bruins,2003,41,19,50.00%,7,209,188,0.5
Buffalo Sabres,2003,37,34,45.10%,4,220,221,-1.0
Calgary Flames,2003,42,30,51.20%,3,200,176,0.512
Carolina Hurricanes,2003,28,34,34.10%,6,172,209,-37.0
Columbus Blue Jackets,2003,25,45,30.50%,4,177,238,-61.0
Chicago Blackhawks,2003,20,43,24.40%,8,188,259,-71.0
Colorado Avalanche,2003,40,22,48.80%,7,236,198,38.0
Dallas Stars,2003,41,26,50.00%,2,194,175,0.5
Detroit Red Wings,2003,48,21,58.50%,2,255,189,0.585
Edmonton Oilers,2003,36,29,43.90%,5,221,208,13.0
Florida Panthers,2003,28,35,34.10%,4,188,221,-33.0
Los Angeles Kings,2003,28,29,34.10%,9,205,217,-12.0
Minnesota Wild,2003,30,29,36.60%,3,188,183,5.0
Montreal Canadiens,2003,41,30,50.00%,4,208,192,0.5
Nashville Predators,2003,38,29,46.30%,4,216,217,-1.0
New Jersey Devils,2003,43,25,52.40%,2,213,164,0.524
New York Islanders,2003,38,29,46.30%,4,237,210,27.0
